Unix,Date,Symbol,Open,High,Low,Close,Volume BTC,Volume USDT,tradecount
0,2024-08-28 21:45:00,BTCUSDT,58818.5,59470.4,58772.9,59449.4,3564.534,211054626.2838,0
0,2024-08-28 21:30:00,BTCUSDT,58976.6,59058.3,58802,58818.5,2157.004,127207547.6729,0
0,2024-08-28 21:15:00,BTCUSDT,58831.7,59061.4,58769.3,58976.6,4481.989,264222818.1495,0
0,2024-08-28 21:00:00,BTCUSDT,58600,58917.4,58541,58831.7,3985.138,234213815.6443,0
0,2024-08-28 20:45:00,BTCUSDT,58994.9,59030.1,58580,58600,2923.483,171853164.3208,0
0,2024-08-28 20:30:00,BTCUSDT,58750.4,59032.8,58688.9,58994.9,1525.551,89804777.9427,0
0,2024-08-28 20:15:00,BTCUSDT,58996,58996,58688.8,58750.4,3956.553,232656890.1821,0
0,2024-08-28 20:00:00,BTCUSDT,59138.2,59233,58968,58996,4151.811,245307765.7405,0
0,2024-08-28 19:45:00,BTCUSDT,58615.1,59169,58593.5,59138.2,6213.532,366108988.8806,0
0,2024-08-28 19:30:00,BTCUSDT,58357.1,58622.6,58196.1,58615.1,3174.131,185294996.543,0
0,2024-08-28 19:15:00,BTCUSDT,58551.8,58582,57800.3,58357.1,12311.991,715208584.7767,0
0,2024-08-28 19:00:00,BTCUSDT,58938.9,58940.8,58504.6,58551.8,3717.32,218227803.4274,0
0,2024-08-28 18:45:00,BTCUSDT,58700,58979,58598.6,58938.9,2183.979,128463504.4381,0
0,2024-08-28 18:30:00,BTCUSDT,58690.1,58760.7,58446.7,58700,2620.009,153609225.9579,0
0,2024-08-28 18:15:00,BTCUSDT,58772,58839.2,58386.1,58690.1,6022.928,353058251.4725,0
0,2024-08-28 18:00:00,BTCUSDT,59147.3,59147.3,58715.8,58772,4627.417,272450291.3936,0
0,2024-08-28 17:45:00,BTCUSDT,59174.8,59272,58882.9,59147.3,6179.643,365152714.2701,0
0,2024-08-28 17:30:00,BTCUSDT,59548.7,59619.8,59171.5,59174.8,2556.667,151832564.5535,0
0,2024-08-28 17:15:00,BTCUSDT,59748.8,59894,59507.1,59548.7,2041.532,121801887.4406,0
0,2024-08-28 17:00:00,BTCUSDT,59300.2,59905.3,59136.8,59748.8,6121.947,364582043.1695,0
0,2024-08-28 16:45:00,BTCUSDT,59769.6,59822.3,59263.8,59300.2,3422.935,203780177.3251,0
0,2024-08-28 16:30:00,BTCUSDT,59823.8,59967.5,59653.6,59769.6,2655.841,158862350.8601,0
0,2024-08-28 16:15:00,BTCUSDT,59777.6,59970,59744,59823.8,1630.124,97556008.7657,0
0,2024-08-28 16:00:00,BTCUSDT,59900.6,59937.8,59730,59777.6,1890.11,113040945.7884,0
0,2024-08-28 15:45:00,BTCUSDT,60068.4,60068.4,59882.5,59900.6,1315.057,78827958.4833,0
0,2024-08-28 15:30:00,BTCUSDT,60034.1,60118.6,60013.4,60068.4,1125.663,67609829.6327,0
0,2024-08-28 15:15:00,BTCUSDT,60000,60071.4,59907,60034.1,935.421,56129090.8357,0
0,2024-08-28 15:00:00,BTCUSDT,59890.9,60000,59839.9,60000,634.803,38039050.1979,0
0,2024-08-28 14:45:00,BTCUSDT,59858.7,60038.2,59858.7,59890.9,1035.279,62061954.5231,0
0,2024-08-28 14:30:00,BTCUSDT,59934.4,60024.7,59834.6,59858.7,1196.963,71736352.8059,0
0,2024-08-28 14:15:00,BTCUSDT,59874.6,60055.5,59874.6,59934.4,1908.85,114476069.2643,0
0,2024-08-28 14:00:00,BTCUSDT,59709.3,59950,59629.9,59874.6,2001.748,119722831.2158,0
0,2024-08-28 13:45:00,BTCUSDT,59759.7,59786.3,59650.9,59709.3,1207.623,72109598.8698,0
0,2024-08-28 13:30:00,BTCUSDT,59864.2,59888.6,59641.5,59759.7,2334.76,139460240.8742,0
0,2024-08-28 13:15:00,BTCUSDT,59932.9,59997.6,59759.7,59864.2,1852.855,110959095.2336,0
0,2024-08-28 13:00:00,BTCUSDT,60150,60169,59765.6,59932.9,4666.875,279733607.3067,0
0,2024-08-28 12:45:00,BTCUSDT,59381,60166.4,59377.4,60150,7912.454,473631970.0131,0
0,2024-08-28 12:30:00,BTCUSDT,59329.3,59464.4,59329.3,59381,1833.717,108927800.0911,0
0,2024-08-28 12:15:00,BTCUSDT,59199.8,59357,59159.8,59329.3,822.795,48754344.1946,0
0,2024-08-28 12:00:00,BTCUSDT,59182,59339.3,59103.7,59199.8,1569.03,92944436.1612,0
0,2024-08-28 11:45:00,BTCUSDT,59114.4,59252.4,59069.9,59182,1356.607,80291340.5581,0
0,2024-08-28 11:30:00,BTCUSDT,59054.4,59184.9,59024.6,59114.4,1892.968,111908541.913,0
0,2024-08-28 11:15:00,BTCUSDT,58764.7,59114.1,58761.4,59054.4,3301.35,194650756.0192,0
0,2024-08-28 11:00:00,BTCUSDT,58566.1,58837.5,58490,58764.7,3048.206,178820172.9046,0
0,2024-08-28 10:45:00,BTCUSDT,58800.5,58852.4,58480,58566.1,4340.841,254573534.7812,0
0,2024-08-28 10:30:00,BTCUSDT,58965,59023.9,58724.6,58800.5,2822.718,166097469.7657,0
0,2024-08-28 10:15:00,BTCUSDT,59094.4,59094.5,58836.6,58965,2621.757,154544534.3942,0
0,2024-08-28 10:00:00,BTCUSDT,59151.9,59228.4,59070.7,59094.4,714.005,42227409.2263,0
0,2024-08-28 09:45:00,BTCUSDT,59096,59192.4,59090.4,59151.9,646.609,38245632.4605,0
0,2024-08-28 09:30:00,BTCUSDT,59173,59195,59077.1,59096,935.646,55335241.6371,0
0,2024-08-28 09:15:00,BTCUSDT,59273,59321,59150,59173,910.388,53908694.749,0
0,2024-08-28 09:00:00,BTCUSDT,59246.9,59316.3,59234.5,59273,757.461,44894380.3858,0
0,2024-08-28 08:45:00,BTCUSDT,59366.9,59418.4,59237.8,59246.9,788.504,46755938.092,0
0,2024-08-28 08:30:00,BTCUSDT,59320.9,59450.1,59320.9,59366.9,438.581,26052427.9976,0
0,2024-08-28 08:15:00,BTCUSDT,59270.8,59402.4,59265.7,59320.9,792.668,47049040.4896,0
0,2024-08-28 08:00:00,BTCUSDT,59294.1,59298.4,59210,59270.8,695.35,41205294.7802,0
0,2024-08-28 07:45:00,BTCUSDT,59403.6,59439.9,59243.5,59294.1,1249.763,74158072.0405,0
0,2024-08-28 07:30:00,BTCUSDT,59553.3,59553.3,59386,59403.6,794.182,47223607.2907,0
0,2024-08-28 07:15:00,BTCUSDT,59485,59622.3,59443.7,59553.3,824.298,49079709.9774,0
0,2024-08-28 07:00:00,BTCUSDT,59581.2,59586.8,59448.5,59485,1050.092,62503382.2039,0
0,2024-08-28 06:45:00,BTCUSDT,59533.6,59610.9,59464.8,59581.2,1109.539,66065369.4342,0
0,2024-08-28 06:30:00,BTCUSDT,59387.1,59543.3,59385.2,59533.6,672.71,40011843.5478,0
0,2024-08-28 06:15:00,BTCUSDT,59350.6,59473.5,59346.4,59387.1,861.656,51207453.354,0
0,2024-08-28 06:00:00,BTCUSDT,59291,59404.9,59250.4,59350.6,658.071,39033456.4459,0
0,2024-08-28 05:45:00,BTCUSDT,59256.9,59320.5,59230.8,59291,480.207,28461921.2663,0
0,2024-08-28 05:30:00,BTCUSDT,59151.4,59281.9,59150,59256.9,1809.889,107164198.9082,0
0,2024-08-28 05:15:00,BTCUSDT,59269.9,59362.5,59150,59151.4,647.028,38312297.0462,0
0,2024-08-28 05:00:00,BTCUSDT,59335.3,59370.1,59202.5,59269.9,1353.248,80217010.9458,0
0,2024-08-28 04:45:00,BTCUSDT,59126.8,59400,59048.5,59335.3,1706.306,101119364.7005,0
0,2024-08-28 04:30:00,BTCUSDT,58980.1,59139.6,58870.9,59126.8,1130.612,66686074.9045,0
0,2024-08-28 04:15:00,BTCUSDT,59136,59207,58903.7,58980.1,1055.916,62409250.5525,0
0,2024-08-28 04:00:00,BTCUSDT,59040.4,59146.3,58875.4,59136,1994.853,117637796.3484,0
0,2024-08-28 03:45:00,BTCUSDT,59130.9,59243.9,59009.9,59040.4,1621.98,95905303.1867,0
0,2024-08-28 03:30:00,BTCUSDT,59085,59331,59022.4,59130.9,1621.53,96031253.8403,0
0,2024-08-28 03:15:00,BTCUSDT,59275.1,59311.9,58934.9,59085,2247.184,132834666.7453,0
